eta, gamma, epsilon, mds, mys, mss, mean, 50_perc, 80_perc, max, death_mode, 30_mean, 30_50_perc, 30_80_perc, 30_max, 30_death_mode, 30_low_mean, 30_low_50_perc, 30_low_80_perc, 30_low_max, 30_low_death_mode, 30_high_mean, 30_high_50_perc, 30_high_80_perc, 30_high_max, 30_high_death_mode
0.1,1,0.1,140,40,1,24.93,1,25.4,583,tree_top,35.32857143,1.5,46.8,583,tree_top,0.631578947,1,1,2,tree_top,76.53125,44.5,99.8,583,tree_top
0.1,1,0.1,140,40,2,2.25,1,2,29,tree_top,3.071428571,1,3,29,tree_top,0.813953488,1,1,5,tree_top,6.666666667,3,10.4,29,tree_top
0.1,1,0.1,140,40,3,4.76,1,7,58,tree_top,6.571428571,2,8,58,tree_top,1.054054054,1,2,3,tree_top,12.75757576,8,19.4,58,tree_top
0.1,1,0.1,140,35,1,7.13,1,7,99,tree_top,9.942857143,1,17.4,99,tree_top,0.303030303,0,1,1,tree_top,18.54054054,8,30.6,99,tree_top
0.1,1,0.1,140,35,2,38.7,1,33,719,tree_top,55.07142857,3.5,82.6,719,tree_top,1.542857143,1,2,6,tree_top,108.6,52,170,719,tree_top
0.1,1,0.1,140,35,3,2.76,1,2,79,tree_top,3.742857143,1,4,79,tree_top,0.657894737,1,1,3,tree_top,7.40625,2.5,9.8,79,tree_top
0.1,1,0.1,140,30,1,6.18,1,7,78,tree_top,8.071428571,1.5,9.4,78,tree_top,0.35483871,0,1,1,tree_top,14.20512821,7,19.2,78,tree_top
0.1,1,0.1,140,30,2,50.8,1,40.6,994,tree_top,72.28571429,3,102.2,994,tree_top,1.40625,1,2,4,tree_top,131.9736842,53.5,150.6,994,tree_bot
0.1,1,0.1,140,30,3,4.45,1,3,109,tree_top,6.114285714,1,6.2,109,tree_top,0.96969697,1,1.6,3,tree_top,10.7027027,4,12,109,tree_top
0.1,1,0.1,120,40,1,5.1,1,6,58,tree_top,7.114285714,1,9.4,58,tree_top,0.638888889,1,1,3,tree_top,13.97058824,8.5,19.8,58,tree_top
0.1,1,0.1,120,40,2,6.53,1,6,144,tree_top,9.185714286,1,12.2,144,tree_top,1.060606061,1,1,4,tree_top,16.43243243,8,25.6,144,tree_top
0.1,1,0.1,120,40,3,25.06,3,36.8,244,tree_top,32.24285714,3,52.6,244,tree_top,1.378378378,1,2,6,tree_top,66.84848485,48,109,244,tree_top
0.1,1,0.1,120,35,1,11.04,0.5,14.6,171,tree_top,15.65714286,1.5,25.4,171,tree_top,0.454545455,0,1,2,tree_top,29.21621622,19,46,171,tree_top
0.1,1,0.1,120,35,2,3.71,1,4.2,53,tree_top,5.128571429,1,7,53,tree_top,1,1,1,2,tree_top,8.810810811,5,10.8,53,tree_top
0.1,1,0.1,120,35,3,4.69,1,6.2,62,tree_top,6.528571429,1,11.2,62,tree_top,1.194444444,1,2,6,tree_top,12.17647059,9,21.2,62,tree_top
0.1,1,0.1,120,30,1,29.48,1,21.8,514,tree_top,41.88571429,1,56,514,tree_top,0.75,1,1,2,tree_top,69.30952381,15,119.6,514,tree_top
0.1,1,0.1,120,30,2,14.9,3,21.2,248,tree_top,20.14285714,6,29.6,248,tree_top,1.612903226,1,2,5,tree_top,34.87179487,21,49.8,248,tree_top
0.1,1,0.1,120,30,3,4.94,1,3,90,tree_top,6.671428571,1,6,90,tree_top,1.125,1,1.8,3,tree_top,11.34210526,2,18.6,90,tree_top
0.1,1,0.1,110,40,1,1.17,0,1,29,tree_top,1.5,0,1.2,29,tree_top,0.088235294,0,0,1,tree_top,2.833333333,1,4,29,tree_top
0.1,1,0.1,110,40,2,0.85,0,1,10,tree_top,1.071428571,1,1,10,tree_top,0.5,0,1,3,tree_top,1.928571429,1,3,10,tree_top
0.1,1,0.1,110,40,3,1.95,1,2.2,21,tree_top,2.471428571,1,3.2,21,tree_top,1.025641026,1,1,3,tree_top,4.290322581,3,6,21,tree_top
0.1,1,0.1,110,35,1,5.3,1,7.2,65,tree_top,7.242857143,1.5,11,65,tree_top,0.921052632,1,1,3,tree_top,14.75,10,24.8,65,tree_top
0.1,1,0.1,110,35,2,1.92,1,2,20,tree_top,2.114285714,1,3,20,tree_top,0.714285714,1,1,3,tree_top,3.047619048,2,5,20,tree_top
0.1,1,0.1,110,35,3,1.47,1,2,18,tree_top,1.585714286,1,2,18,tree_top,0.710526316,1,1,2,tree_top,2.625,1.5,3,18,tree_top
0.1,1,0.1,110,30,1,1.28,1,2,13,tree_top,1.628571429,1,2,13,tree_top,1.046511628,1,1,3,tree_top,2.555555556,2,3.8,13,tree_top
0.1,1,0.1,110,30,2,2.17,1,3,29,tree_top,2.785714286,1,5.2,29,tree_top,0.8125,1,1,3,tree_top,4.447368421,2.5,7,29,tree_top
0.1,1,0.1,110,30,3,1.67,1,2,38,tree_top,2.157142857,1,2,38,tree_top,0.815789474,1,1,4,tree_top,3.75,1,4,38,tree_top
0.1,1,0.1,100,40,1,2.24,1,3,24,tree_top,2.957142857,1,4.2,24,tree_top,0.833333333,1,1.2,2,tree_top,4.55,2,9,24,tree_top
0.1,1,0.1,100,40,2,1.81,1,2.2,24,tree_top,2.357142857,1,4,24,tree_top,0.444444444,0,1,2,tree_top,4.382352941,3,6.8,24,tree_top
0.1,1,0.1,100,40,3,1.5,1,2,12,tree_top,1.842857143,1,3,12,tree_top,0.641025641,1,1,3,tree_top,3.35483871,2,5,12,tree_top
0.1,1,0.1,100,35,1,1.53,1,2,10,tree_top,2,1,3,10,tree_top,1,1,2,2,tree_top,3,2,6.2,10,tree_top
0.1,1,0.1,100,35,2,2.69,1,2.2,29,tree_top,3.557142857,1,4.2,29,tree_top,1.142857143,1,2,5,tree_top,5.166666667,1,9.8,29,tree_top
0.1,1,0.1,100,35,3,3.5,1,4,97,tree_top,4.857142857,2,6,97,tree_top,1.216216216,1,2,4,tree_top,8.939393939,5,12,97,tree_top
0.1,1,0.1,100,30,1,12.64,1,20.4,206,tree_top,17.85714286,2,32.2,206,tree_top,0.322580645,0,1,2,tree_top,31.79487179,22,57.4,206,tree_bot
0.1,1,0.1,100,30,2,1.61,0,2,13,tree_top,2.214285714,1,3,13,tree_top,0.611111111,0,1,4,tree_top,3.911764706,2,8.4,13,tree_top
0.1,1,0.1,100,30,3,4.79,1,5,98,tree_top,6.628571429,1,8,98,tree_top,1.083333333,1,1,4,tree_top,12.5,6.5,20.4,98,tree_top
0.1,1,0.01,140,40,1,24.45,1,34.2,192,tree_top,34.62857143,2,72.4,192,tree_top,0.8,1,1,2,tree_top,60,37.5,114.2,192,tree_bot
0.1,1,0.01,140,40,2,1.41,1,1,14,tree_top,1.8,1,2,14,tree_top,0.85,1,1,3,tree_top,3.066666667,1,5.2,14,tree_top
0.1,1,0.01,140,40,3,3.98,1,5.2,41,tree_top,5.228571429,2,8.2,41,tree_top,0.848484848,1,1,3,tree_top,9.135135135,6,12,41,tree_top
0.1,1,0.01,140,35,1,7.89,1,8.2,105,tree_top,10.9,1,14.4,105,tree_top,0.483870968,0,1,2,tree_top,19.17948718,9,29.8,105,tree_top
0.1,1,0.01,140,35,2,3.16,1,2,49,tree_top,4.385714286,1,5.4,49,tree_top,0.9,1,1.2,3,tree_top,7,2,12,49,tree_top
0.1,1,0.01,140,35,3,4.18,1,4.2,55,tree_top,5.585714286,1,7,55,tree_top,0.904761905,1,1,4,tree_top,12.60714286,7,17.6,55,tree_top
0.1,1,0.01,140,30,1,0.79,0,1,9,tree_top,1.057142857,1,1,9,tree_top,0.5,0,1,2,tree_top,1.892857143,1,3.6,9,tree_top
0.1,1,0.01,140,30,2,8.75,1,7.2,121,tree_top,12.3,1.5,17.4,121,tree_top,1.242424242,1,1,5,tree_top,22.16216216,9,31.6,121,tree_top
0.1,1,0.01,140,30,3,13.55,2,24.2,138,tree_top,18.5,5,31.2,138,tree_top,1.535714286,1.5,2,4,tree_top,29.80952381,22.5,40.6,138,tree_top
0.1,1,0.01,120,40,1,34.5,1,34.4,612,tree_top,49.14285714,2,74.8,612,tree_top,0.76,1,1,2,tree_top,76.02222222,20,136,612,tree_top
0.1,1,0.01,120,40,2,3.15,1,4,53,tree_top,4.442857143,1,6,53,tree_top,0.705882353,1,1,4,tree_top,7.972222222,4,13,53,tree_top
0.1,1,0.01,120,40,3,2.52,1,4,28,tree_top,3.242857143,1,5,28,tree_top,0.666666667,1,1,2,tree_top,5.970588235,4,10,28,tree_top
0.1,1,0.01,120,35,1,68.95,1,16.4,2302,tree_top,98.35714286,1,76.6,2302,tree_top,0.55,1,1,1,tree_top,228.7666667,72.5,325.6,2302,tree_top
0.1,1,0.01,120,35,2,16.61,2,29.4,138,tree_top,22.62857143,3,41.6,138,tree_top,1.5,1,2,4,tree_top,42.58333333,31.5,62,138,tree_top
0.1,1,0.01,120,35,3,5.76,1,4.2,63,tree_top,7.985714286,1,11,63,tree_top,1.147058824,1,2,5,tree_top,14.44444444,6.5,28,63,tree_top
0.1,1,0.01,120,30,1,10.57,1,9,194,tree_top,14.94285714,2,27.2,194,tree_top,1.236842105,1,2,4,tree_top,31.21875,18,45.6,194,tree_top
0.1,1,0.01,120,30,2,1.75,0,2,23,tree_top,2.257142857,1,3,23,tree_top,0.452380952,0,1,3,tree_top,4.964285714,3,9.8,23,tree_top
0.1,1,0.01,120,30,3,8.29,1,8,149,tree_top,11.65714286,3,11,149,tree_top,1.558823529,1,3,5,tree_top,21.19444444,10,37,149,tree_top
0.1,1,0.01,110,40,1,0.78,1,1,6,tree_top,0.871428571,1,1,6,tree_top,0.756756757,1,1,4,tree_top,1,0,1.6,6,tree_top
0.1,1,0.01,110,40,2,1.07,0,1,12,tree_top,1.414285714,0,2,12,tree_top,0.419354839,0,1,1,tree_top,2.205128205,1,4.4,12,tree_top
0.1,1,0.01,110,40,3,6.53,1,8.2,99,tree_top,8.642857143,2,14,99,tree_top,1.097560976,1,2,3,tree_top,19.31034483,14,29.4,99,tree_top
0.1,1,0.01,110,35,1,1.99,1,2,28,tree_top,2.657142857,1,3,28,tree_top,0.46875,0,1,2,tree_top,4.5,2,7,28,tree_top
0.1,1,0.01,110,35,2,1.48,0,1.2,30,tree_top,1.985714286,1,2,30,tree_top,0.552631579,0,1,3,tree_top,3.6875,1,3.8,30,tree_top
0.1,1,0.01,110,35,3,1.1,1,2,10,tree_top,1.357142857,1,2,10,tree_top,0.648648649,1,1,2,tree_top,2.151515152,1,3.6,10,tree_top
0.1,1,0.01,110,30,1,6.11,1,4,82,tree_top,8.528571429,1,9.4,82,tree_top,0.405405405,0,1,1,tree_top,17.63636364,7,23.8,82,tree_top
0.1,1,0.01,110,30,2,0.73,0,1,9,tree_top,0.9,0.5,1.2,9,tree_top,0.772727273,1,1,3,tree_top,1.115384615,0,2,9,tree_top
0.1,1,0.01,110,30,3,6.92,1,9,68,tree_top,9.542857143,2,13.2,68,tree_top,1.361111111,1,2,6,tree_top,18.20588235,12,30,68,tree_top
0.1,1,0.01,100,40,1,1.22,1,1,10,tree_top,1.628571429,1,2,10,tree_top,1,1,1,3,tree_top,2.157894737,1,3,10,tree_top
0.1,1,0.01,100,40,2,1.58,1,2,28,tree_top,2.057142857,1,2.2,28,tree_top,0.6,0,1,3,tree_top,3.514285714,1,5,28,tree_top
0.1,1,0.01,100,40,3,1.33,1,2,19,tree_top,1.742857143,1,2,19,tree_top,0.783783784,1,1,2,tree_top,2.818181818,1,4,19,tree_top
0.1,1,0.01,100,35,1,5.12,1,6.4,46,tree_top,6.942857143,1,13,46,tree_top,0.658536585,1,1,2,tree_top,15.82758621,13,26.8,46,tree_top
0.1,1,0.01,100,35,2,2.35,1,2.2,26,tree_top,3.085714286,1,5,26,tree_top,0.868421053,1,1,2,tree_top,5.71875,4,8,26,tree_top
0.1,1,0.01,100,35,3,1.96,1,2,15,tree_top,2.585714286,1,3.2,15,tree_top,1.05,1,2,4,tree_top,4.633333333,2,8.2,15,tree_top
0.1,1,0.01,100,30,1,6.06,1,2.2,192,tree_top,8.4,1,6.6,192,tree_top,0.447368421,0,1,1,tree_top,17.84375,4.5,21.8,192,tree_bot
0.1,1,0.01,100,30,2,3.54,1,4.2,40,tree_top,4.871428571,2,6.6,40,tree_top,0.806451613,0,2,3,tree_top,8.102564103,5,13,40,tree_top
0.1,1,0.01,100,30,3,0.82,0,1,5,tree_top,0.985714286,1,1,5,tree_top,0.485714286,0,1,2,tree_top,1.485714286,1,3.2,5,tree_top
0.01,1,0.1,140,40,1,1.53,1,2,19,tree_top,1.928571429,1,3,19,tree_top,0.818181818,1,1,3,tree_top,2.918918919,1,5.8,19,tree_top
0.01,1,0.1,140,40,2,3.97,1,5,41,tree_top,5.5,2,7.2,41,tree_top,0.638888889,0.5,1,2,tree_top,10.64705882,7,16.8,41,tree_top
0.01,1,0.1,140,40,3,2.32,1,2.2,26,tree_top,3.128571429,1,4,26,tree_top,0.952380952,1,1,4,tree_top,6.392857143,3.5,9.6,26,tree_top
0.01,1,0.1,140,35,1,4.07,1,6,37,tree_top,5.371428571,1,9.2,37,tree_top,1.09375,1,1,4,tree_top,8.973684211,6,15.6,37,tree_top
0.01,1,0.1,140,35,2,5.45,1,4.2,79,tree_top,7.585714286,2,8.6,79,tree_top,1.243243243,1,2,4,tree_top,14.6969697,7,18.8,79,tree_top
0.01,1,0.1,140,35,3,2.01,1,2.2,25,tree_top,2.771428571,1,5,25,tree_top,0.939393939,1,1,5,tree_top,4.405405405,2,7,25,tree_top
0.01,1,0.1,140,30,1,5.43,0.5,4,106,tree_top,7.585714286,1,8,106,tree_top,0.361111111,0,1,2,tree_top,15.23529412,6,19.4,106,tree_top
0.01,1,0.1,140,30,2,13.17,2,20.2,181,tree_top,18.37142857,4,29.4,181,tree_top,1.125,1,2,4,tree_top,32.89473684,21.5,55.4,181,tree_top
0.01,1,0.1,140,30,3,1.23,1,2,12,tree_top,1.557142857,1,2,12,tree_top,0.818181818,1,1.6,3,tree_top,2.216216216,1,3.8,12,tree_top
0.01,1,0.1,120,40,1,5.68,1,3.2,80,tree_top,7.985714286,1,9.4,80,tree_top,0.657142857,1,1,2,tree_top,15.31428571,5,21.6,80,tree_top
0.01,1,0.1,120,40,2,7.83,1,10.4,86,tree_top,11.01428571,2,26,86,tree_top,1.419354839,1,2,6,off_top,18.64102564,12,29.4,86,tree_top
0.01,1,0.1,120,40,3,1.62,1,2,14,tree_top,2.1,1,3.2,14,tree_top,0.864864865,1,1,2,tree_top,3.484848485,2,6,14,tree_top
0.01,1,0.1,120,35,1,0.96,1,1,21,tree_top,1.228571429,1,2,21,tree_top,1.133333333,1,2,3,tree_top,1.3,0,2,21,tree_top
0.01,1,0.1,120,35,2,2.6,1,2,34,tree_top,3.3,1,2.2,34,tree_top,0.8,1,1,2,tree_top,7.8,3,13.6,34,tree_top
0.01,1,0.1,120,35,3,5.03,1,6,110,tree_top,4.914285714,1,7,45,tree_top,0.902439024,1,1,2,tree_top,10.5862069,7,21,45,tree_top
0.01,1,0.1,120,30,1,1.64,0,2,34,tree_top,2.085714286,0,3,34,tree_top,0.189189189,0,0,1,tree_top,4.212121212,2,6,34,tree_top
0.01,1,0.1,120,30,2,14.53,2,24,166,tree_top,20.45714286,5,36,166,tree_top,1.483870968,1,2,5,tree_top,35.53846154,24,56.4,166,tree_top
0.01,1,0.1,120,30,3,1.27,0,2,12,tree_top,1.685714286,1,4,12,tree_top,0.9,1,1,5,tree_top,2.275,1,5,12,tree_top
0.01,1,0.1,110,40,1,1.62,1,1.2,24,tree_top,2.2,1,4,24,tree_top,0.558823529,1,1,2,tree_top,3.75,2,5,24,tree_top
0.01,1,0.1,110,40,2,1.65,1,1,28,tree_top,2.214285714,1,2,28,tree_top,0.609756098,1,1,2,tree_top,4.482758621,2,8.4,28,tree_top
0.01,1,0.1,110,40,3,1.27,1,1,17,tree_top,1.642857143,1,2,17,tree_top,0.548387097,1,1,1,tree_top,2.512820513,1,3.4,17,tree_top
0.01,1,0.1,110,35,1,2.05,1,2,30,tree_top,2.685714286,1,3,30,tree_top,1.472222222,1,2,4,tree_top,3.970588235,1.5,7.4,30,tree_top
0.01,1,0.1,110,35,2,4.98,1,9.2,62,tree_top,6.914285714,1.5,14,62,tree_top,0.805555556,1,1,2,tree_top,13.38235294,11.5,19.4,62,tree_top
0.01,1,0.1,110,35,3,2.36,1,3,26,tree_top,3.071428571,1,4.2,26,tree_top,0.636363636,0,1,3,tree_top,5.243243243,3,7.8,26,tree_top
0.01,1,0.1,110,30,1,1.21,1,2,8,tree_top,1.557142857,1,3,8,tree_top,0.676470588,1,1,2,tree_top,2.388888889,2,4,8,tree_top
0.01,1,0.1,110,30,2,4.9,1,3.2,94,tree_top,6.657142857,1,9,94,tree_top,0.75,1,1,5,tree_top,12.91176471,8.5,18.2,94,tree_top
0.01,1,0.1,110,30,3,5.13,1,5.4,68,tree_top,7.171428571,1,10.2,68,tree_top,0.71875,1,1,3,tree_top,12.60526316,7.5,18.2,68,tree_top
0.01,1,0.1,100,40,1,1.16,1,2,9,tree_top,1.457142857,1,2,9,tree_top,0.925,1,1,3,tree_top,2.166666667,1,4.2,9,tree_top
0.01,1,0.1,100,40,2,1.9,1,3,27,tree_top,2.471428571,1,3,27,tree_top,0.675675676,1,1,3,tree_top,4.484848485,3,5.6,27,tree_top
0.01,1,0.1,100,40,3,2.77,1,3,31,tree_top,3.742857143,1,6.2,31,tree_top,0.896551724,1,1.4,3,tree_top,5.756097561,2,9,31,tree_top
0.01,1,0.1,100,35,1,2.21,1,2,28,tree_top,2.942857143,1,3,28,tree_top,0.615384615,1,1,2,tree_top,5.870967742,3,10,28,tree_top
0.01,1,0.1,100,35,2,3.78,1,5,49,tree_top,4.928571429,1,7,49,tree_top,0.823529412,1,1,3,tree_top,8.805555556,6.5,16,49,tree_top
0.01,1,0.1,100,35,3,3.4,1,3.2,52,tree_top,4.585714286,1,5.2,52,tree_top,0.972222222,1,1,4,tree_top,8.411764706,4.5,10.4,52,tree_top
0.01,1,0.1,100,30,1,3.24,1,3,58,tree_top,4.314285714,1,4.2,58,tree_top,0.5,0,1,2,tree_top,8.352941176,3.5,14.4,58,tree_top
0.01,1,0.1,100,30,2,2.98,1,4,26,tree_top,4.014285714,1,6.2,26,tree_top,0.416666667,0,1,2,tree_top,7.823529412,5,13.4,26,tree_top
0.01,1,0.1,100,30,3,3.08,1,2,44,tree_top,4.128571429,1,4,44,tree_top,0.852941176,1,1,3,tree_top,7.222222222,2,11,44,tree_top
0.01,1,0.01,140,40,1,2.78,1,3,33,tree_top,3.771428571,1,6.4,33,tree_top,0.552631579,1,1,1,tree_top,7.59375,5.5,12.8,33,tree_top
0.01,1,0.01,140,40,2,5.26,1,6.2,66,tree_top,6.985714286,1.5,11.4,66,tree_top,0.647058824,0.5,1,2,tree_top,12.97222222,8,21,66,tree_top
0.01,1,0.01,140,40,3,1.6,0,1.2,20,tree_top,2.042857143,0.5,2,20,tree_top,0.475,0,1,2,tree_top,4.133333333,1,8.4,20,tree_top
0.01,1,0.01,140,35,1,16.46,1,30,151,tree_top,22.88571429,6.5,39,151,tree_top,0.777777778,1,1,1,tree_top,36.76744186,29,55.6,151,tree_top
0.01,1,0.01,140,35,2,1.96,1,3,16,tree_top,2.328571429,1,3,16,tree_top,0.466666667,0,1,2,tree_top,3.725,2,8.2,16,tree_top
0.01,1,0.01,140,35,3,2.62,1,3,30,tree_top,3.542857143,1,6.2,30,tree_top,0.823529412,1,1.4,3,tree_top,6.111111111,4,10,30,tree_top
0.01,1,0.01,140,30,1,4.23,1,3,54,tree_top,5.857142857,1,8,54,tree_top,1.1,1,1,3,tree_top,12.2,8,19.8,54,tree_top
0.01,1,0.01,140,30,2,3.73,1,5,26,tree_top,4.714285714,1,9.2,26,tree_top,0.972222222,1,1,3,tree_top,8.676470588,6,15.4,26,tree_top
0.01,1,0.01,140,30,3,2,1,2,22,tree_top,2.728571429,1,3,22,tree_top,1.111111111,1,2,5,tree_top,4.441176471,2,7.6,22,tree_top
0.01,1,0.01,120,40,1,3.19,1,2,41,tree_top,4.457142857,1,4.6,41,tree_top,0.725,1,1,2,tree_top,9.433333333,4,16,41,tree_top
0.01,1,0.01,120,40,2,1.08,0,1,26,tree_top,1.457142857,1,2,26,tree_top,0.657142857,1,1,4,tree_top,2.257142857,1,3,26,tree_top
0.01,1,0.01,120,40,3,1.3,1,2,18,tree_top,1.728571429,1,2,18,tree_top,0.710526316,1,1,3,tree_top,2.9375,2,4,18,tree_top
0.01,1,0.01,120,35,1,2.12,0,2,32,tree_top,2.957142857,1,4,32,tree_top,0.151515152,0,0,1,tree_top,5.459459459,2,7,32,tree_top
0.01,1,0.01,120,35,2,1.43,1,2,11,tree_top,1.928571429,1,3,11,tree_top,0.942857143,1,1,5,tree_top,2.914285714,1,5.2,11,tree_top
0.01,1,0.01,120,35,3,2.76,1,3,34,tree_top,3.742857143,1,5,34,tree_top,0.794117647,1,1,2,tree_top,6.527777778,3,10,34,tree_top
0.01,1,0.01,120,30,1,2.03,1,2,36,tree_top,2.728571429,1,2.2,36,tree_top,0.871794872,1,1,4,tree_top,5.064516129,1,7,36,tree_top
0.01,1,0.01,120,30,2,9.77,1,9,176,tree_top,13.44285714,2.5,15.6,176,tree_top,1.108108108,1,2,4,tree_top,27.27272727,13,53.2,176,tree_top
0.01,1,0.01,120,30,3,3.07,1,3,37,tree_top,4.328571429,1,4,37,tree_top,0.805555556,1,1,4,tree_top,8.058823529,3,10.4,37,tree_top
0.01,1,0.01,110,40,1,3.47,0.5,5,36,tree_top,4.757142857,1,8,36,tree_top,0.214285714,0,0.6,1,tree_top,7.785714286,4.5,14.6,36,tree_top
0.01,1,0.01,110,40,2,1.66,1,2.2,18,tree_top,1.957142857,1,3,18,tree_top,0.676470588,1,1,3,tree_top,3.166666667,1.5,6,18,tree_top
0.01,1,0.01,110,40,3,3.28,1,3.2,48,tree_top,4.271428571,1,5,48,tree_top,1.222222222,1,2,5,tree_top,7.5,3.5,9.4,48,tree_top
0.01,1,0.01,110,35,1,2.38,1,2.2,21,tree_top,3.1,1,4,21,tree_top,0.789473684,1,1,2,tree_top,5.84375,3.5,10.8,21,tree_top
0.01,1,0.01,110,35,2,1.14,0,2,10,tree_top,1.4,1,3,10,tree_top,0.735294118,0,1,4,tree_top,2.027777778,1,4,10,tree_top
0.01,1,0.01,110,35,3,2.65,1,4,30,tree_top,3.457142857,1,5,30,tree_top,0.789473684,0.5,1,5,tree_top,6.625,4,10.6,30,tree_top
0.01,1,0.01,110,30,1,2.97,1,3,53,tree_top,4.057142857,1,6.2,53,tree_top,0.8125,1,1,5,tree_top,6.789473684,3,11.6,53,tree_top
0.01,1,0.01,110,30,2,1.67,1,2,16,tree_top,2.171428571,1,3.2,16,tree_top,0.666666667,1,1,2,tree_top,4.064516129,3,8,16,tree_top
0.01,1,0.01,110,30,3,3.89,1,6,33,tree_top,5.1,2,8.2,33,tree_top,1,1,1.4,4,tree_top,8.972222222,6,15,33,tree_top
0.01,1,0.01,100,40,1,14.76,1,18.6,293,tree_top,19.17142857,2,31.2,293,tree_top,0.305555556,0,1,2,tree_top,39.14705882,22,57.8,293,tree_top
0.01,1,0.01,100,40,2,3.3,1,3,78,tree_top,4.242857143,1,4.2,78,tree_top,0.684210526,0.5,1,3,tree_top,8.46875,4,14.6,78,tree_top
0.01,1,0.01,100,40,3,1.86,1,2,42,tree_top,2.528571429,1,2.2,42,tree_top,0.702702703,1,1,4,tree_top,4.575757576,2,5.6,42,tree_top
0.01,1,0.01,100,35,1,0.93,0,1,8,tree_top,1.157142857,0,2,8,tree_top,0.361111111,0,1,2,tree_top,2,1,3.4,8,tree_top
0.01,1,0.01,100,35,2,11,1,16.4,143,tree_top,15.45714286,2,24.2,143,tree_top,1.1875,1,2,5,tree_top,27.47368421,18.5,36.6,143,tree_top
0.01,1,0.01,100,35,3,35.2,2,16.2,1209,tree_top,49.91428571,3,43,1209,tree_top,1.363636364,1,2,6,tree_top,93.21621622,18,112.2,1209,tree_top
0.01,1,0.01,100,30,1,2.44,1,2,44,tree_top,3.285714286,1,2,44,tree_top,0.815789474,1,1,2,tree_top,6.21875,1,7.4,44,off_bot
0.01,1,0.01,100,30,2,4.63,1,3,74,tree_top,6.414285714,1.5,5,74,tree_top,0.897435897,1,2,3,tree_top,13.35483871,4,26,74,tree_top
